Time,Roll,RollRate,Pitch,PitchRate,Yaw,YawRate,Aileron,Elevator,Rudder
4.93,-0.004452651136229689,0.0068612416361921455,-0.00037825096232815456,-0.017189748625042123,0.0010913846846683983,0.015973679606966155,-0.10632671610239164,-0.04009413448185231,-0.4040916308875817
4.94,-0.004045006355810374,0.005521576563817777,-0.0010101919446201305,-0.017895687483934747,0.0002896150203194063,0.01778383810447335,-0.10879434475040897,-0.14197700287255696,0.17846417664324468
4.95,-0.0027309619863275813,0.0035771200679241477,-0.0025103046687013557,-0.017155177754003603,0.0009684743972226888,0.01722527949739595,-0.11198149603388226,-0.09864529917854824,0.05594281210099368
4.96,-0.0033431077178862996,0.006276405180459733,-0.002584583881960532,-0.01641116137887641,0.0015440733748075526,0.014212073154185679,0.07672852073098309,0.0977207308170187,-0.3431778427513187
4.97,-0.002620127721656851,0.004793337074306246,-0.0017608774802167387,-0.006990323780568362,0.0031271097177723505,0.014001508341028231,-0.2141597613333369,0.6977207308170186,0.25682215724868124
4.98,-0.0033404996878174348,0.006642950399763984,-0.0016226189601042551,-0.005976997602413169,0.0037025852992419966,0.014618416599742877,0.35084619942493206,0.09772073081701865,-0.09036308819473587
4.99,-0.004235250736766622,0.002838444369323059,-0.002835840166487385,-0.0136140769185839,0.0073343095474839495,0.013477076620215666,-0.2491538005750679,-0.5022792691829813,-0.15735711196957727
5.0,-0.005230724073787118,0.003038749960044883,-0.0032998621279936593,-0.012987584642199929,0.007348577074310315,0.008530455976469925,0.13144046009510113,0.09772073081701865,-0.5442563329930524
5.01,-0.005983662408213896,0.004348027348865704,-0.002398872179723545,-0.00511359908508528,0.007151578068472781,0.009102430723851716,0.18171782464046332,0.6977207308170186,-0.08117468218492657
5.0200000000000005,-0.008086708349148443,0.004172162250401542,-0.0028504029298766767,-0.004006484831264821,0.0047107191823805745,0.00718257648014747,-0.1636147154309981,0.09772073081701865,-0.24702128641380017
5.03,-0.008444257291856477,0.004871699870558383,-0.003126666419599751,-0.010297783965284074,0.004829741096889089,0.00934219819271842,-0.034663142688688364,-0.5022792691829813,0.35297871358619975
5.04,-0.0060129629171116515,0.005970992706229386,-0.0030167701866478666,-0.008203983776832798,0.004687292247596845,0.009436215033739396,0.038977616687589235,0.09772073081701865,0.03387085681429297
5.05,-0.006210881866812123,0.006149013880854352,-0.0024067191876549774,0.00341373768036551,0.004406697832764143,0.011533212934900996,-0.14976247572353327,0.6977207308170186,0.2785049709441575
5.0600000000000005,-0.004176524981406889,0.004281888737831225,-0.002669625141534545,0.011818781467390823,0.005622919260975941,0.01114192087787059,-0.23312289859127372,0.5901462674218848,-0.05655922838333539
5.07,-0.002846089802886538,0.0028369176267058907,-0.0012601379722748845,0.010653987029636078,0.005216937766038842,0.006258176337016503,-0.21715222377027626,-0.009853732578115122,-0.6565592283833354
5.08,-0.0033041955050407785,0.005113657138611269,-0.0005665003898962421,0.007981244401843703,0.004614315108529602,0.0012968779043519394,0.20899894172322733,-0.19716030523875624,-0.6488325472574932
5.09,-0.004170121278574169,0.006284576841829711,-0.001705296152087066,0.004167442326464172,0.005724599677800167,-0.0008983715037605166,0.15560943358116563,-0.3740129701217049,-0.07681772683198218
5.1000000000000005,-0.004042385887478296,0.005185809561225211,-0.0004856085519434602,0.005658509330735521,0.006037348207032803,0.00342532758569569,-0.14925547079516846,0.10551434560383563,0.34553551716847297
5.11,-0.00517444502099121,0.006278424493535938,-4.361342376775504e-05,0.008163179297376803,0.006117118446334813,0.002608565203505405,-0.03205211835300301,0.21829509687000392,-0.25446448283152695
5.12,-0.0032310580495428514,0.012709780779477247,-0.00023115259343588776,0.015321005126515054,0.007699825464466152,-0.000896525861702729,0.5679478816469969,0.39627810026153143,-0.21697809879547106
5.13,-0.004118801319539718,0.01155380855245182,-0.0009493266137666304,0.01563486407401896,0.007269019882512184,-0.0005344997848486955,-0.03205211835300304,-0.026637491593225354,-0.14788128366890788
5.14,-0.004002473073188529,0.009572535327773529,-0.0026031724731912054,0.012696171933189558,0.0076484736072720255,-0.002265915283734725,-0.02065752780307306,-0.21008881371406501,-0.22222690632235526
5.15,-0.0031071229749876673,0.011692257201433614,-0.00033820677587705447,0.014281516378242482,0.007693284280293032,-0.001835387231720551,0.13113996037678574,0.05797781324156774,0.02564529453649505
5.16,-0.004231248241963488,0.010831388504311208,8.39260954952923e-05,0.012949605079100463,0.007920788929655188,-0.0024958653853772795,0.028246057759198487,-0.12576840335408496,-0.27444180622500725
5.17,-0.0056531945401479215,0.010632012214513771,0.0024397230323058463,0.0027727090574617115,0.007797246998605065,-0.00405301364128089,0.052314089042063035,-0.6610588376456455,-0.10698318425791685
5.18,-0.00641827747985651,0.01744038090112038,0.004291185045670249,0.0022750475715523732,0.008870942319135763,-0.0031970034373437683,0.6470774622876474,-0.0610588376456456,-0.0030741599586739106
5.19,-0.005266262636808393,0.017414884327444702,0.0053975747686358135,0.004816753420306974,0.0072700394014475435,-0.0028923791628662474,0.2579525751078509,0.26413122500864206,-0.11397500728818433
5.2,-0.005750131999480069,0.018872575854633446,0.0036219480889913597,0.007329905742706313,0.0061578518434862554,0.0019293618556593718,0.049556095378344836,0.2997453165560963,0.4860249927118157
5.21,-0.005956535336276397,0.019298715861359457,0.0034731230080185774,0.009380934404734566,0.006446162583373407,0.0009692962605277819,0.08734488145457266,0.12452648011335186,-0.023527054435024786
5.22,-0.005748458323735016,0.02241853470813099,0.003757965984984633,0.016662574701075746,0.00607909497263586,0.0038519355950934414,0.2670890638664759,0.5933178884464916,0.06926618849590618
5.23,-0.004834826419078686,0.018613424946184513,0.004788359724346573,0.015592340310867108,0.006908088912175107,0.0009107870771587555,-0.3086689822506256,-0.006682111553508323,-0.32686279559787584
5.24,-0.0045570259915335785,0.013907826977814291,0.0035409273075166703,0.009095855219132504,0.006008692903667479,-0.0021105681565007374,-0.4021124424611256,-0.3503982737175847,-0.418944800043487
